Date,Open,High,Low,Close,Volume
12/12/2022,"361.35","391.90","361.30","389.50","17,776"
12/09/2022,"376.00","382.45","360.15","363.35","19,835"
12/08/2022,"378.70","380.05","373.50","376.95","12,597"
12/07/2022,"367.55","385.70","367.55","379.75","32,543"
12/06/2022,"344.30","368.80","342.05","360.25","20,835"
12/05/2022,"343.15","347.20","341.20","343.35","4,973"
12/02/2022,"333.90","346.00","333.90","343.15","234,199"
12/01/2022,"338.00","343.95","334.55","339.35","3,261"
11/30/2022,"331.85","337.05","331.85","335.00","2,603"
11/29/2022,"335.50","341.40","328.25","330.60","2,114"
11/28/2022,"340.00","343.60","333.65","338.90","3,144"
11/25/2022,"337.80","341.95","337.15","338.90","2,850"
11/24/2022,"340.00","344.30","333.30","337.35","9,693"
11/23/2022,"343.20","343.20","336.00","341.45","9,561"
11/22/2022,"344.90","346.10","336.45","340.45","13,660"
11/21/2022,"339.25","348.00","334.35","345.35","32,761"
11/18/2022,"324.10","334.15","320.30","324.00","8,972"
11/17/2022,"336.90","338.65","328.85","331.15","7,543"
11/16/2022,"326.90","343.20","326.15","337.95","18,278"
11/15/2022,"322.15","331.35","319.85","327.90","9,938"
11/14/2022,"324.10","331.95","324.10","328.00","9,058"
11/11/2022,"312.35","326.00","312.35","324.85","25,528"
11/10/2022,"318.30","327.25","308.20","315.30","11,880"
11/09/2022,"322.00","323.60","317.10","319.00","10,158"
11/07/2022,"298.20","322.00","298.20","318.90","22,504"
11/04/2022,"291.10","304.70","290.20","298.20","26,266"
11/03/2022,"287.05","307.50","284.10","300.40","44,645"
11/02/2022,"285.55","296.25","285.55","291.35","5,733"
11/01/2022,"287.10","296.35","284.95","287.60","27,451"
10/31/2022,"272.80","285.90","272.80","285.05","16,232"
10/28/2022,"279.10","282.75","273.75","275.35","8,190"
10/27/2022,"267.85","279.70","267.85","277.05","21,444"
10/25/2022,"261.40","271.65","260.70","268.15","26,830"
10/24/2022,"261.70","265.00","259.85","263.30","2,772"
10/21/2022,"257.30","262.35","256.95","259.00","3,988"
10/20/2022,"256.50","268.00","254.60","256.90","7,354"
10/19/2022,"264.85","269.70","259.00","260.90","4,837"
10/18/2022,"258.30","265.50","256.95","264.05","16,981"
10/17/2022,"254.20","263.00","251.80","258.90","23,431"
10/14/2022,"256.95","260.00","251.05","256.15","10,107"
10/13/2022,"251.60","252.00","245.45","250.75","6,238"
10/12/2022,"241.60","249.45","239.00","246.20","10,833"
10/11/2022,"252.40","252.45","236.10","237.75","38,356"
10/10/2022,"246.05","255.90","246.05","252.40","13,437"
10/07/2022,"257.85","257.90","251.10","253.80","6,425"
10/06/2022,"253.80","258.45","253.80","257.65","11,927"
10/04/2022,"258.90","258.90","251.25","253.80","5,856"
10/03/2022,"244.60","255.85","243.45","251.20","41,702"
09/30/2022,"236.15","249.95","236.15","244.05","10,428"
09/29/2022,"244.60","244.60","236.95","237.75","30,178"
09/28/2022,"244.15","246.10","234.55","239.15","17,566"
09/27/2022,"249.75","252.45","243.35","244.55","18,654"
09/26/2022,"261.20","261.20","243.55","247.05","16,333"
09/23/2022,"267.30","270.80","264.35","265.70","10,109"
09/22/2022,"264.70","275.35","261.80","266.45","39,574"
09/21/2022,"258.05","271.00","258.05","265.60","14,674"
09/20/2022,"257.70","265.00","257.70","262.35","4,230"
09/19/2022,"251.25","260.00","251.25","255.15","35,098"
09/16/2022,"262.00","270.30","252.35","260.25","13,800"
09/15/2022,"267.60","273.20","262.85","267.30","6,570"
09/14/2022,"258.10","272.00","252.10","268.25","15,762"
09/13/2022,"254.65","260.40","254.65","258.00","7,377"
09/12/2022,"258.65","266.00","253.20","260.35","6,177"
09/09/2022,"262.30","263.95","257.75","258.10","3,133"
09/08/2022,"259.55","263.35","259.50","262.30","9,949"
09/07/2022,"250.00","261.25","250.00","257.35","8,041"
09/06/2022,"245.05","260.00","245.00","255.70","19,060"
09/05/2022,"249.80","250.70","245.00","248.20","5,226"
09/02/2022,"246.60","251.50","245.00","245.60","2,788"
09/01/2022,"244.75","249.65","244.55","248.05","9,769"
08/30/2022,"244.05","245.75","242.45","244.90","6,468"
08/29/2022,"249.00","249.00","238.60","241.45","7,510"
08/26/2022,"248.70","251.65","247.65","250.05","6,684"
08/25/2022,"246.45","248.35","244.20","245.95","5,171"
08/24/2022,"239.55","247.50","239.55","243.15","7,065"
08/23/2022,"234.60","242.80","227.85","238.95","7,892"
08/22/2022,"241.15","241.15","232.00","232.40","8,460"
08/19/2022,"255.30","255.30","244.25","245.60","11,364"
08/18/2022,"241.85","257.95","237.15","250.80","70,989"
08/17/2022,"235.20","238.95","234.60","237.55","6,458"
08/16/2022,"228.55","237.50","228.55","235.10","11,214"
08/12/2022,"227.30","234.55","227.00","231.40","7,563"
08/11/2022,"230.00","231.35","227.50","227.90","16,636"
08/10/2022,"228.55","229.40","226.20","228.25","2,552"
08/08/2022,"225.20","229.45","222.00","227.90","5,993"
08/05/2022,"227.80","230.20","223.25","224.40","11,916"
08/04/2022,"232.55","232.55","224.95","228.05","13,013"
08/03/2022,"228.55","236.00","223.10","226.20","5,609"
08/02/2022,"236.70","236.70","232.00","232.85","3,510"
08/01/2022,"239.80","239.85","232.40","234.85","6,129"
07/29/2022,"227.00","240.00","226.55","237.20","8,351"
07/28/2022,"220.00","230.00","220.00","226.05","11,338"
07/27/2022,"233.65","233.65","222.00","225.15","6,725"
07/26/2022,"239.60","239.60","227.50","229.05","8,691"
07/25/2022,"232.00","237.85","227.50","234.90","12,281"
07/22/2022,"228.30","233.30","224.25","232.50","3,899"
07/21/2022,"224.00","229.20","224.00","226.80","8,874"
07/20/2022,"227.75","228.50","223.65","224.35","7,730"
07/19/2022,"255.00","255.00","221.90","224.75","6,048"
07/18/2022,"212.95","222.60","212.65","221.10","8,664"
07/15/2022,"217.90","218.45","210.00","211.25","10,028"
07/14/2022,"213.20","221.05","213.20","217.30","8,224"
07/13/2022,"211.75","217.00","211.75","213.95","5,875"
07/12/2022,"215.40","218.90","211.05","215.10","5,968"
07/11/2022,"209.70","218.60","207.80","216.35","6,169"
07/08/2022,"213.35","214.15","207.50","209.05","8,850"
07/07/2022,"205.60","216.50","202.00","212.65","5,343"
07/06/2022,"204.50","206.00","200.45","202.10","6,850"
07/05/2022,"203.15","209.00","202.70","207.05","8,000"
07/04/2022,"202.85","205.95","198.50","201.55","5,782"
07/01/2022,"202.60","204.15","197.60","201.55","3,825"
06/30/2022,"205.70","209.20","202.30","203.55","6,946"
06/29/2022,"201.50","210.90","201.50","205.60","4,453"
06/28/2022,"200.85","202.35","199.85","201.00","5,551"
06/27/2022,"205.25","206.00","200.10","202.35","5,278"
06/24/2022,"205.00","207.25","200.20","201.20","10,144"
06/23/2022,"196.60","217.00","196.45","204.90","17,607"
06/22/2022,"203.00","203.00","194.45","196.75","7,357"
06/21/2022,"199.70","207.75","196.05","202.75","12,676"
06/20/2022,"209.00","209.00","189.20","195.50","8,739"
06/17/2022,"207.35","209.00","199.55","203.00","12,654"
06/16/2022,"214.55","216.10","201.10","204.55","12,539"
06/15/2022,"212.75","216.90","202.70","214.55","22,980"
06/14/2022,"210.00","214.00","208.00","212.25","10,055"
06/13/2022,"222.00","222.00","210.50","211.45","11,482"
06/10/2022,"229.80","229.80","220.00","225.05","12,432"
06/09/2022,"225.00","229.95","223.20","229.10","9,328"
06/08/2022,"229.30","230.70","224.05","226.40","13,959"
06/07/2022,"232.75","232.75","224.90","228.05","9,752"
06/06/2022,"228.25","231.00","220.45","229.25","23,833"
06/03/2022,"233.00","233.20","226.90","228.30","10,789"
06/02/2022,"223.25","231.10","223.25","229.40","14,284"
06/01/2022,"219.75","229.60","219.45","225.85","21,626"
05/31/2022,"230.00","230.00","219.75","221.30","23,799"
05/30/2022,"245.70","245.70","226.15","230.10","17,890"
05/27/2022,"236.80","240.60","233.70","237.30","21,269"
05/26/2022,"219.10","237.05","212.50","234.60","45,944"
05/25/2022,"233.70","234.00","216.15","219.10","24,087"
