Date,Open,High,Low,Close,Volume
12/09/2022,"112.60","113.80","109.70","110.45","3,226,905"
12/08/2022,"111.50","112.95","110.80","111.85","3,107,262"
12/07/2022,"113.10","113.50","110.90","111.25","1,930,243"
12/06/2022,"115.60","115.60","112.25","112.90","2,856,264"
12/05/2022,"113.05","116.05","112.60","115.80","9,902,771"
12/02/2022,"110.25","112.50","110.25","112.05","3,506,966"
12/01/2022,"108.20","111.30","108.00","110.70","11,872,540"
11/30/2022,"106.10","107.90","105.90","107.70","4,451,220"
11/29/2022,"104.80","107.60","104.80","106.10","4,589,186"
11/28/2022,"105.90","106.40","104.55","104.90","2,663,200"
11/25/2022,"105.55","106.50","105.10","106.20","1,266,476"
11/24/2022,"105.65","105.95","104.60","105.45","2,049,473"
11/23/2022,"105.90","105.95","104.90","105.60","1,326,989"
11/22/2022,"104.25","105.40","103.55","105.15","1,417,435"
11/21/2022,"107.90","107.90","103.90","104.20","4,222,910"
11/18/2022,"105.85","106.30","104.70","105.50","1,973,041"
11/17/2022,"106.00","106.75","104.50","105.85","2,476,199"
11/16/2022,"108.30","108.80","105.25","106.55","1,540,453"
11/15/2022,"108.80","109.35","107.25","108.50","2,855,557"
11/14/2022,"108.15","110.00","108.15","108.65","2,600,489"
11/11/2022,"106.20","108.20","106.15","107.50","3,403,076"
11/10/2022,"105.05","106.00","104.45","104.65","3,073,273"
11/09/2022,"107.00","107.50","105.55","106.15","2,405,877"
11/07/2022,"105.10","107.40","104.55","106.65","8,160,890"
11/04/2022,"102.25","105.00","102.25","104.75","8,220,902"
11/03/2022,"100.60","102.60","100.05","102.20","2,317,113"
11/02/2022,"100.90","102.90","100.80","101.20","4,184,733"
11/01/2022,"98.15","101.45","98.15","101.20","6,014,204"
10/31/2022,"101.70","102.15","100.30","101.55","1,897,296"
10/28/2022,"104.05","104.50","100.80","101.55","3,814,661"
10/27/2022,"102.05","104.65","102.05","104.20","3,699,848"
10/25/2022,"101.00","102.50","100.65","101.15","3,108,326"
10/24/2022,"102.00","102.00","101.00","101.20","496,638"
10/21/2022,"100.65","101.45","99.35","100.15","2,488,930"
10/20/2022,"99.50","101.10","98.80","100.90","3,573,785"
10/19/2022,"100.60","101.20","99.70","100.05","2,331,137"
10/18/2022,"100.10","101.00","99.80","100.60","2,827,302"
10/17/2022,"99.85","100.40","98.10","99.55","12,754,080"
10/14/2022,"101.60","102.70","99.85","100.10","3,020,846"
