Date,Open,High,Low,Close,Volume
12/09/2022,"64.05","64.85","63.95","64.15","2,791,440"
12/08/2022,"64.55","64.80","63.65","63.85","2,466,067"
12/07/2022,"65.00","65.40","64.15","64.45","2,505,423"
12/06/2022,"64.55","65.45","64.45","64.80","4,529,570"
12/05/2022,"68.80","69.00","65.00","65.50","6,605,009"
12/02/2022,"66.70","68.85","66.50","68.60","8,039,929"
12/01/2022,"66.30","67.15","65.40","66.70","3,989,095"
11/30/2022,"63.00","66.60","63.00","65.20","22,064,490"
11/29/2022,"64.30","64.85","63.00","63.55","2,638,059"
11/28/2022,"63.55","65.25","63.55","64.40","2,811,301"
11/25/2022,"64.00","64.90","63.00","63.95","2,965,751"
11/24/2022,"62.20","64.10","62.10","63.15","3,502,196"
11/23/2022,"63.75","64.30","61.30","61.65","5,184,063"
11/22/2022,"64.75","64.90","63.35","63.95","3,438,216"
11/21/2022,"66.30","66.35","63.80","64.30","6,134,916"
11/18/2022,"68.15","69.30","67.00","67.15","4,604,831"
11/17/2022,"68.30","69.80","67.50","67.75","4,099,016"
11/16/2022,"69.95","70.50","67.70","68.70","4,938,544"
11/15/2022,"69.10","71.20","69.10","69.95","4,807,333"
11/14/2022,"74.00","75.55","69.15","69.60","11,547,720"
11/11/2022,"65.60","73.50","65.55","72.80","31,976,260"
11/10/2022,"65.40","65.95","63.15","63.95","4,049,816"
11/09/2022,"65.15","67.50","65.00","65.30","9,209,096"
11/07/2022,"63.75","65.40","63.30","65.10","5,475,261"
11/04/2022,"62.45","63.60","62.45","63.00","1,214,476"
11/03/2022,"62.70","62.75","62.05","62.20","2,183,067"
11/02/2022,"63.50","64.70","62.65","63.00","3,982,333"
11/01/2022,"63.30","63.70","62.70","63.55","3,619,782"
10/31/2022,"63.55","63.80","62.10","63.15","1,869,510"
10/28/2022,"65.10","65.70","62.30","62.55","3,877,340"
10/27/2022,"63.80","65.75","63.50","65.10","4,439,347"
10/25/2022,"62.50","64.85","62.45","64.60","8,322,661"
10/24/2022,"62.95","62.95","62.10","62.35","941,776"
10/21/2022,"61.90","63.20","61.35","61.85","4,516,921"
10/20/2022,"61.70","62.20","60.85","61.30","4,053,793"
10/19/2022,"63.30","63.60","61.50","62.10","4,229,285"
10/18/2022,"63.60","64.35","62.75","63.05","3,903,144"
10/17/2022,"61.80","63.25","61.15","62.65","8,125,456"
10/14/2022,"62.95","64.10","61.60","61.90","6,372,090"
10/13/2022,"64.40","64.65","61.00","61.30","5,418,623"
10/12/2022,"65.75","66.45","63.05","63.75","6,490,988"
10/11/2022,"68.25","69.25","65.00","65.60","9,131,850"
10/10/2022,"68.30","69.70","67.50","68.70","7,259,394"
10/07/2022,"65.05","70.20","64.60","69.60","15,977,400"
10/06/2022,"64.30","66.00","64.30","65.55","6,735,813"
10/04/2022,"63.05","64.45","63.05","64.05","2,948,952"
10/03/2022,"62.00","63.10","61.20","61.90","5,375,311"
09/30/2022,"61.20","62.90","59.80","62.35","6,594,644"
09/29/2022,"59.10","61.85","58.90","61.20","5,620,834"
09/28/2022,"57.85","59.25","57.70","58.05","8,531,266"
09/27/2022,"58.15","59.75","56.95","58.85","5,852,997"
09/26/2022,"59.80","60.55","57.45","57.85","3,557,405"
09/23/2022,"62.85","63.35","60.40","60.75","4,669,050"
09/22/2022,"62.80","63.75","62.75","63.30","3,549,239"
09/21/2022,"63.30","64.00","62.40","63.45","5,198,126"
09/20/2022,"64.80","65.75","62.40","62.85","10,930,860"
09/19/2022,"64.05","65.45","63.40","63.95","10,681,290"
09/16/2022,"64.30","64.95","61.10","63.50","9,083,833"
09/15/2022,"63.80","64.90","63.30","64.60","6,170,557"
09/14/2022,"63.90","65.10","62.80","63.25","8,971,983"
09/13/2022,"63.00","66.55","62.75","65.45","10,026,350"
09/12/2022,"62.80","63.20","62.25","62.50","2,481,445"
09/09/2022,"61.90","63.60","61.90","62.75","10,835,540"
09/08/2022,"60.20","62.50","59.90","61.40","10,859,190"
09/07/2022,"59.65","60.40","59.25","59.50","4,686,425"
09/06/2022,"60.00","60.80","59.40","59.70","5,356,936"
09/05/2022,"60.35","60.80","59.30","59.65","4,308,693"
09/02/2022,"62.90","63.40","59.40","59.70","12,786,710"
09/01/2022,"58.20","63.20","58.05","62.50","29,971,779"
08/30/2022,"60.10","61.30","57.30","58.00","6,260,809"
08/29/2022,"58.10","60.55","58.10","59.15","7,758,710"
08/26/2022,"62.50","62.60","60.55","61.90","5,038,917"
08/25/2022,"62.70","63.20","61.70","62.05","6,762,558"
08/24/2022,"64.35","64.35","61.75","62.25","10,025,750"
08/23/2022,"62.40","65.20","62.20","64.45","8,676,999"
08/22/2022,"61.00","62.80","59.35","61.90","10,856,430"
08/19/2022,"67.15","68.25","60.30","61.40","13,446,840"
08/18/2022,"65.50","69.20","65.15","67.05","25,794,949"
08/17/2022,"64.55","65.60","61.65","65.30","18,753,830"
08/16/2022,"62.50","67.35","62.50","64.25","14,346,070"
08/12/2022,"58.20","63.00","57.90","61.75","24,272,020"
08/11/2022,"56.70","58.10","56.35","57.90","10,272,560"
08/10/2022,"56.60","56.60","54.50","55.95","14,433,280"
08/08/2022,"54.70","56.20","54.15","55.45","7,824,550"
08/05/2022,"57.80","59.15","53.25","54.50","12,642,240"
08/04/2022,"55.90","58.65","54.50","57.75","16,591,980"
08/03/2022,"52.55","56.85","50.25","55.40","717,991,688"
08/02/2022,"50.00","55.60","48.00","55.60","80,327,422"
08/01/2022,"46.90","47.20","45.05","46.35","20,249,641"
07/29/2022,"45.65","47.25","44.55","46.85","19,356,070"
07/28/2022,"44.90","46.35","43.05","45.65","14,979,710"
07/27/2022,"40.95","44.40","40.55","43.95","25,293,779"
07/26/2022,"47.15","47.15","41.25","41.65","20,763,689"
07/25/2022,"52.65","52.65","46.00","47.55","38,018,191"
07/22/2022,"53.90","54.00","52.90","53.65","3,918,032"
07/21/2022,"53.45","54.45","52.80","53.50","2,529,100"
07/20/2022,"54.65","54.70","53.15","53.35","2,236,062"
